Unnamed: 0,term_name,negative_log10_of_adjusted_p_value,term_id,metabolism,lipid_metabolism,mitochondrial_energy,redox_metabolism,cell_death,cell_killing,immune,transcription,translation,signaling,transport,development_structure,neuronal,best_category,confidence
237,humoral immune response,4.62914917126765,GO:0006959,0.064615756,0.08798072,0.0347649,0.13033243,0.20875558,0.39952314,0.6494057,0.096931,0.1785498,0.2289159,0.096765324,0.17469129,0.0597701,immune,0.24988258
238,angiogenesis,4.61524848121894,GO:0001525,0.19882047,0.21848866,0.17329162,0.22739214,0.29672185,0.15211666,0.19957012,0.19447398,0.16842206,0.26297864,0.18554556,0.40123913,0.30971605,development_structure,0.09152308
239,lymphocyte differentiation,4.59586817520697,GO:0030098,0.16319059,0.18632789,0.04185951,0.084832825,0.2111395,0.40751612,0.4446092,0.28270715,0.2442371,0.2057944,0.24156754,0.4937681,0.14937891,development_structure,0.0491589
240,antigen processing and presentation of endogenous peptide antigen,4.5841154462442,GO:0002483,0.1715147,0.12960893,-0.026383698,0.044093102,0.14185159,0.26545593,0.30284187,0.08817093,0.39589262,0.13600793,0.17259645,0.16846678,0.11328957,translation,0.09305075
241,regulation of vasculature development,4.58091312188574,GO:1901342,0.21185026,0.2596942,0.16597581,0.15008074,0.22483188,0.16860375,0.32338932,0.2513821,0.15644744,0.27038002,0.21127743,0.44652787,0.4169342,development_structure,0.029593676
242,export from cell,4.56212962399354,GO:0140352,0.3155949,0.248478,0.26123473,0.24200776,0.2607832,0.23958305,0.29458505,0.20197606,0.23323378,0.22265126,0.25786254,0.33106256,0.13285744,development_structure,0.015467644
243,MAPK cascade,4.55963402125962,GO:0000165,0.019113304,0.050654594,0.0870589,-0.02264934,0.124864325,0.041457534,0.11565384,0.15663603,0.12027238,0.32790276,0.08112064,0.055761315,0.11381036,signaling,0.17126673
244,positive regulation of non-canonical NF-kappaB signal transduction,4.46841930191981,GO:1901224,0.2420385,0.20687239,0.168141,0.18121521,0.27204296,0.18055551,0.3237096,0.43090892,0.34973067,0.5163678,0.20545763,0.10940604,0.24121243,signaling,0.085458875
245,regulation of T cell activation,4.44368436673877,GO:0050863,0.23684905,0.21790157,0.13218747,0.1404759,0.35781038,0.40919957,0.46493223,0.4630162,0.28299722,0.46040535,0.24207139,0.39962542,0.23768005,immune,0.0019160211
246,positive regulation of chemokine production,4.40698358949451,GO:0032722,0.4829284,0.363604,0.2812667,0.33220154,0.40128094,0.33652568,0.458441,0.37067193,0.28434527,0.4312134,0.20788576,0.25542104,0.19855018,metabolism,0.024487406
247,anatomical structure formation involved in morphogenesis,4.37911403344115,GO:0048646,0.17803597,0.16903338,0.1500088,0.06634411,0.16136357,-0.026329678,0.08280702,0.18231213,0.3499578,0.28524086,0.23355865,0.5005754,0.44648135,development_structure,0.054094076
248,antigen processing and presentation of endogenous antigen,4.35291334939998,GO:0019883,0.14763445,0.12656492,0.0064624343,0.060112536,0.13975662,0.272777,0.2927693,0.10534456,0.32163578,0.09716469,0.18250905,0.22103927,0.09538728,translation,0.02886647
249,T cell mediated cytotoxicity,4.34263406695944,GO:0001913,0.1969035,0.14493129,0.0776477,0.195371,0.4468935,0.6661645,0.39353776,0.14993483,0.19344413,0.23831671,0.192447,0.29291344,0.05587193,cell_killing,0.219271
250,regulation of cell development,4.32879539969915,GO:0060284,0.37330946,0.33677137,0.25406682,0.24164805,0.48558646,0.3582551,0.49837023,0.5061654,0.3473118,0.5117965,0.28759485,0.7363882,0.4879261,development_structure,0.22459173
251,regulation of locomotion,4.28330926844422,GO:0040012,0.2697279,0.24196294,0.251497,0.13697422,0.20339595,0.11680164,0.2406334,0.39800084,0.23649518,0.3779927,0.31877682,0.3536263,0.37853295,transcription,0.01946789
252,regulation of hemopoiesis,4.20872403843095,GO:1903706,0.27058476,0.27628615,0.21765515,0.31059286,0.3631078,0.2951974,0.4083034,0.3124336,0.16612801,0.28134537,0.2404648,0.37492645,0.24185288,immune,0.033376962
253,apoptotic signaling pathway,4.19354740804051,GO:0097190,0.31226835,0.27261716,0.22965832,0.2755583,0.5749873,0.29583883,0.36057872,0.3596246,0.28474918,0.57210135,0.24668112,0.30584535,0.22422814,cell_death,0.0028859377
254,regulation of apoptotic signaling pathway,4.11500978480371,GO:2001233,0.33224222,0.31775275,0.24964064,0.2973212,0.5645728,0.28797355,0.36958516,0.4650889,0.27210298,0.57968956,0.22148415,0.30935013,0.19431965,signaling,0.015116751
255,neutrophil migration,4.0855475828186,GO:1990266,0.14237386,0.18499693,0.1776235,0.22002962,0.196331,0.26205885,0.3734353,0.10189594,0.24708736,0.09548084,0.3996615,0.18103325,0.14504957,transport,0.026226223
256,humoral immune response mediated by circulating immunoglobulin,4.03339719627668,GO:0002455,0.059611373,0.062514365,0.023205847,0.08642602,0.1445207,0.36839193,0.54334193,0.097484134,0.20987612,0.22005156,0.13117795,0.1512454,0.0012510212,immune,0.17495
257,negative regulation of transport,4.03200757425209,GO:0051051,0.19771436,0.22707048,0.27746058,0.12741712,0.20446986,0.13109186,0.16815725,0.23443075,0.14174291,0.33845907,0.5235107,0.13353007,0.18443063,transport,0.18505162
258,response to wounding,4.02576572243232,GO:0009611,-0.0071942275,-0.015173306,0.00799542,0.046561614,0.10216987,0.22291338,0.20932621,0.0018726301,0.015411289,0.10570353,0.021877209,0.09636739,0.086608365,cell_killing,0.013587177
259,positive regulation of cell-cell adhesion,4.0120527682217,GO:0022409,0.15906976,0.1574512,0.11216082,0.14844254,0.4253395,0.33875173,0.44924515,0.30846262,0.18968166,0.3856094,0.38651195,0.6123336,0.31879368,development_structure,0.16308844
260,tube development,3.97116541573907,GO:0035295,0.0444537,0.015232297,-0.014194874,-0.033837155,0.03611598,0.00046552625,0.004408235,0.11990599,0.23617075,0.038905784,0.16055438,0.21991272,0.18717885,translation,0.016258031
261,circulatory system development,3.96310331204845,GO:0072359,0.12515745,0.18226269,0.18351847,0.0668297,0.07997771,0.05674097,0.08614105,0.05238396,0.03577407,0.13817334,0.24535091,0.19948994,0.21313167,transport,0.032219246
262,positive regulation of leukocyte cell-cell adhesion,3.93910953219234,GO:1903039,0.09996618,0.1338889,0.06224075,0.14255384,0.37632537,0.46793908,0.57287633,0.23320025,0.113977455,0.2988788,0.3539918,0.49532264,0.21667922,immune,0.07755369
263,regulation of metabolic process,3.9385116732352,GO:0019222,0.73822224,0.60169125,0.5484115,0.45546585,0.33727473,0.15817231,0.21224305,0.48552623,0.3095467,0.43821913,0.2937582,0.26821342,0.23175627,metabolism,0.136531
264,negative regulation of cell activation,3.91637507480655,GO:0050866,0.3178435,0.25908896,0.25679106,0.2496599,0.5007645,0.3964578,0.4904552,0.44766378,0.25769484,0.5194371,0.31798032,0.46118212,0.35086733,signaling,0.018672585
265,regulation of angiogenesis,3.85620262235212,GO:0045765,0.25594246,0.2943911,0.20290384,0.274574,0.30388212,0.16773531,0.29252842,0.37007234,0.17489725,0.38450754,0.1908237,0.3964295,0.30617195,development_structure,0.011921972
266,regulation of proteolysis,3.82432975599107,GO:0030162,0.4587639,0.36774343,0.30587798,0.27050054,0.26379788,0.165623,0.15839559,0.33344945,0.29534107,0.2695182,0.29619527,0.18560869,0.15276957,metabolism,0.091020465
267,myeloid leukocyte mediated immunity,3.79726350383299,GO:0002444,0.07305314,0.09921652,0.06303593,0.16310546,0.30201197,0.55960685,0.6543382,0.13109177,0.08445193,0.17209587,0.1778965,0.2536533,0.00031633116,immune,0.09473133
268,astrocyte activation,3.78272378470057,GO:0048143,0.2446614,0.2205179,0.21081519,0.15485676,0.2871042,0.1640862,0.25630188,0.18883774,0.2248208,0.338081,0.2127815,0.2690578,0.34720927,neuronal,0.0091282725
269,negative regulation of signaling,3.73910296172622,GO:0023057,0.2687594,0.2517956,0.22231689,0.18155865,0.39079794,0.2490772,0.3676305,0.48709023,0.26484075,0.6336938,0.29789186,0.2942841,0.37151158,signaling,0.14660358
270,negative regulation of cell communication,3.73182119740853,GO:0010648,0.24301188,0.18365319,0.23629099,0.13593476,0.44140536,0.3577461,0.3799283,0.35358107,0.23134434,0.6001899,0.3530998,0.40629753,0.3007775,signaling,0.15878457
271,superoxide anion generation,3.72262921726523,GO:0042554,0.2544263,0.20192327,0.18816778,0.4803882,0.18552843,0.12009846,0.1001804,0.12007328,0.22688287,0.049428314,0.08918335,0.1377022,0.1640175,redox_metabolism,0.2259619
272,cell junction disassembly,3.72262921726523,GO:0150146,0.27545422,0.1086635,0.15624723,0.104229525,0.3989082,0.29952776,0.13428411,0.18548281,0.31375653,0.27354467,0.39544117,0.4939013,0.2531896,development_structure,0.094993114
273,negative regulation of cell population proliferation,3.71910381658016,GO:0008285,0.2823168,0.22222517,0.2154109,0.21991329,0.5203574,0.39806736,0.42349213,0.33199462,0.18812469,0.3905484,0.22510815,0.42516077,0.2468469,cell_death,0.095196605
274,positive regulation of lymphocyte activation,3.70555954435187,GO:0051251,0.20067123,0.21907622,0.1682184,0.17346482,0.36452723,0.5154978,0.58314335,0.40316516,0.2512064,0.4214272,0.23830834,0.32368442,0.14657754,immune,0.06764555
275,positive regulation of biosynthetic process,3.70202656505257,GO:0009891,0.49399078,0.4081698,0.2838072,0.36422783,0.35720313,0.2350266,0.23999447,0.45998895,0.30509317,0.38566655,0.20909455,0.3087978,0.31699133,metabolism,0.034001827
276,positive regulation of macromolecule metabolic process,3.65517910208353,GO:0010604,0.6852678,0.54222894,0.49776134,0.4121341,0.40472773,0.26080525,0.30508032,0.5385414,0.42709297,0.5154192,0.35093865,0.3014484,0.2178058,metabolism,0.14303887
277,synapse pruning,3.62287576584593,GO:0098883,0.05723858,0.0022463817,0.09607442,0.06113269,0.10665554,0.0056587085,0.0065998356,0.08386022,0.16021447,0.25207114,0.18005311,0.12991846,0.354142,neuronal,0.10207087
278,innate immune response activating cell surface receptor signaling pathway,3.60640491491223,GO:0002220,0.10963802,0.14024554,0.033271417,0.16233063,0.3640889,0.4410232,0.68949616,0.23393902,0.19854218,0.44414586,0.23321682,0.3797365,0.19724742,immune,0.2453503
279,non-canonical NF-kappaB signal transduction,3.5683887118347,GO:0038061,0.17728302,0.11095681,0.10561191,0.10327695,0.18787757,0.12069319,0.20608145,0.2755424,0.32724124,0.40234962,0.14725913,0.024740607,0.18261558,signaling,0.07510838
280,regulation of secretion by cell,3.4847274015629,GO:1903530,0.3646602,0.31725812,0.22976246,0.21351805,0.3844821,0.34714156,0.43067944,0.39935833,0.27571487,0.49663293,0.44581777,0.50111073,0.32255787,development_structure,0.004477799
281,catabolic process,3.46500208266803,GO:0009056,0.3705383,0.20077494,0.2797942,0.23047298,0.26334482,0.13526377,0.0061798748,0.07500414,0.24814343,0.12759337,0.23605983,0.17106023,0.13911672,metabolism,0.09074411
282,positive regulation of cell population proliferation,3.45314314418416,GO:0008284,0.28965265,0.24828812,0.23971306,0.23238845,0.50567704,0.39333373,0.4635414,0.3733107,0.22607867,0.44954893,0.22357488,0.4545446,0.27893335,cell_death,0.042135656
283,positive regulation of T cell activation,3.45222547337597,GO:0050870,0.19080292,0.18758965,0.15596664,0.14494541,0.38036066,0.41745666,0.46174178,0.41850966,0.26285392,0.46326482,0.24319297,0.35765865,0.23649555,signaling,0.0015230477
284,regulation of acute inflammatory response,3.45095234361591,GO:0002673,0.16610266,0.23537733,0.16048016,0.2858043,0.28531963,0.38488337,0.6776126,0.23197308,0.15878186,0.33752543,0.11057106,0.18724269,0.13295402,immune,0.29272923
285,killing of cells of another organism,3.38354060655904,GO:0031640,0.3822054,0.22243698,0.25371546,0.2794206,0.6303705,0.68945086,0.340951,0.1715191,0.22547773,0.25876126,0.22796571,0.37633142,0.11515098,cell_killing,0.059080362
286,disruption of cell in another organism,3.38354060655904,GO:0141061,0.35143217,0.19935986,0.2154279,0.22313653,0.5163872,0.45431817,0.37504438,0.2330015,0.2964735,0.3785979,0.40864193,0.4856078,0.21938944,cell_death,0.030779421
287,monocyte chemotaxis,3.36674532254448,GO:0002548,0.22998592,0.15061378,0.10494472,0.14369789,0.21663253,0.3319769,0.3524164,0.0407808,0.13485019,0.16056325,0.2027747,0.27967378,0.10939705,immune,0.020439506
288,astrocyte differentiation,3.3365330654216,GO:0048708,0.2108343,0.21755156,0.1621583,0.105999894,0.14909658,0.04462353,0.16232167,0.21102059,0.21881178,0.23664114,0.24011998,0.3872703,0.3493433,development_structure,0.037927
289,positive regulation of myeloid leukocyte mediated immunity,3.33603611500908,GO:0002888,0.12113224,0.1626707,0.12474935,0.20412181,0.35553926,0.5346661,0.67234397,0.2915389,0.14283702,0.31673032,0.191264,0.2635662,0.07119614,immune,0.13767785
290,positive regulation of monocyte chemotaxis,3.33603611500908,GO:0090026,0.3378237,0.26343906,0.20194899,0.24584141,0.3430302,0.4018453,0.50533724,0.28064606,0.19080356,0.38409662,0.26217085,0.35535485,0.21395314,immune,0.10349193
291,disruption of anatomical structure in another organism,3.32623201380662,GO:0141060,0.18662047,0.12635548,0.15067497,0.10671154,0.25011328,0.108413205,0.103465416,0.12125405,0.24655017,0.23030654,0.24302557,0.3920123,0.2698611,development_structure,0.122151196
292,antigen processing and presentation of exogenous peptide antigen via MHC class I,3.29958330449728,GO:0042590,0.104022145,0.09308234,-0.034332465,0.049241863,0.11202621,0.25642884,0.32257465,0.06953197,0.32088107,0.12998274,0.14097117,0.10328164,0.023373377,immune,0.0016935766
293,regulation of leukocyte differentiation,3.23189982547818,GO:1902105,0.21347597,0.27720386,0.11575826,0.20015731,0.29972678,0.4213058,0.5840929,0.39174625,0.18507177,0.32380688,0.30220848,0.484594,0.24506696,immune,0.09949893
294,T cell differentiation,3.21530540340489,GO:0030217,0.20410633,0.17847505,0.07778594,0.07564169,0.26494348,0.31684077,0.34587508,0.3348318,0.26710874,0.28999168,0.26986822,0.5255121,0.26089948,development_structure,0.17963701
295,regulation of non-canonical NF-kappaB signal transduction,3.21008584529386,GO:1901222,0.2788931,0.23411566,0.16861132,0.1907612,0.26696336,0.16926338,0.31428736,0.44966203,0.36944348,0.5227783,0.20626503,0.12859957,0.24956147,signaling,0.07311624
296,positive regulation of T cell mediated cytotoxicity,3.20628844670949,GO:0001916,0.18876937,0.16970241,0.111274645,0.21313739,0.45743036,0.6332711,0.45226532,0.2788326,0.20169887,0.34559476,0.18063697,0.26779574,0.08931706,cell_killing,0.17584074
297,macrophage activation involved in immune response,3.20628844670949,GO:0002281,0.21662177,0.22366856,0.16931179,0.18934748,0.3771665,0.5112627,0.7408093,0.21754971,0.19533509,0.39545083,0.217738,0.31697962,0.12135463,immune,0.2295466
298,response to nitrogen compound,3.1966496033207,GO:1901698,0.25373283,0.077331424,0.16423884,0.20350617,0.034391195,0.036138374,0.059778236,0.07583418,0.15276802,0.05342967,0.09042722,-0.03140471,0.09158736,metabolism,0.05022666
299,osteoclast differentiation,3.18577492926814,GO:0030316,0.12409616,0.10969029,0.09880647,0.07802502,0.14269328,0.052654676,0.07616839,0.16733018,0.15750028,0.14622772,0.16407518,0.41671512,0.25895512,development_structure,0.15776
300,regulation of response to wounding,3.16849191035861,GO:1903034,0.13623472,0.12429761,0.104124576,0.1648695,0.19491011,0.26853663,0.326567,0.22487116,0.100660786,0.28470826,0.104164794,0.22696131,0.22216007,immune,0.041858733
301,regulation of antigen processing and presentation,3.08422714484617,GO:0002577,0.25607204,0.24291483,0.09178975,0.14280955,0.25568202,0.30902392,0.4174304,0.38999015,0.41511214,0.35898316,0.30016044,0.33926508,0.19476077,immune,0.002318263
302,proteolysis,3.07018892442131,GO:0006508,0.37775478,0.2680143,0.25008348,0.19180065,0.23190108,0.15140653,0.084659845,0.11556508,0.30460918,0.14230563,0.26879245,0.14111796,0.13321008,metabolism,0.0731456
303,superoxide metabolic process,3.05644014007459,GO:0006801,0.51261485,0.4009593,0.41599238,0.64874506,0.26419413,0.17795601,0.14865123,0.18011418,0.22289789,0.14979847,0.17945147,0.20072302,0.1661541,redox_metabolism,0.13613021
304,type II hypersensitivity,3.03781264574726,GO:0002445,-0.0885333,-0.06442019,-0.08542089,0.03232016,0.11403404,0.23108383,0.22473803,0.036123406,-0.02354905,0.09058048,0.10286641,0.01790202,-0.0011924077,cell_killing,0.0063457936
305,type IIa hypersensitivity,3.03781264574726,GO:0001794,-0.09303318,-0.05382321,-0.10667727,0.031513646,0.1138137,0.21343857,0.22144064,0.033910435,-0.044364776,0.0576993,0.08424374,0.009441978,-0.027753351,immune,0.008002073
306,regulation of type IIa hypersensitivity,3.03781264574726,GO:0001796,0.05127114,0.0686761,-0.01783371,0.13502048,0.21748802,0.29741803,0.3391785,0.24742705,0.0829194,0.24249938,0.1634278,0.12241007,0.083900236,immune,0.041760474
307,positive regulation of type IIa hypersensitivity,3.03781264574726,GO:0001798,0.04499982,0.06183787,-0.00057614595,0.13376506,0.23817754,0.3097804,0.35993207,0.25730878,0.090149224,0.27584434,0.1749146,0.12202628,0.10639912,immune,0.050151676
308,positive regulation of type II hypersensitivity,3.03781264574726,GO:0002894,0.03321976,0.04305289,0.010232442,0.124058306,0.22236651,0.31659788,0.35906205,0.24460676,0.09040808,0.28386778,0.17261514,0.12360218,0.12606576,immune,0.042464167
309,complement-mediated synapse pruning,3.03781264574726,GO:0150062,0.12535185,0.07798353,0.15107223,0.121202864,0.18707469,0.27085668,0.20521,0.18210933,0.2532329,0.36391044,0.25624397,0.19994242,0.35723186,signaling,0.0066785812
310,regulation of type II hypersensitivity,3.03781264574726,GO:0002892,0.042472534,0.05057136,-0.006963401,0.127597,0.20624226,0.31661814,0.34936404,0.23800495,0.08891943,0.25719136,0.1608153,0.12534948,0.10366196,immune,0.032745898
311,negative regulation of secretion,2.98295843168801,GO:0051048,0.1828558,0.19258112,0.11181809,0.12498163,0.2029815,0.15486339,0.21922994,0.2949526,0.1454097,0.32747036,0.268436,0.20543395,0.22758815,signaling,0.03251776
312,regulation of MAPK cascade,2.96812252327354,GO:0043408,0.22891551,0.27100852,0.21466342,0.15753633,0.31831217,0.19921653,0.31383866,0.41134137,0.27031997,0.52964824,0.2339281,0.23843613,0.2481672,signaling,0.118306875
313,regulation of leukocyte degranulation,2.91520074463034,GO:0043300,0.21729904,0.22171116,0.14099376,0.21624736,0.37314525,0.48356676,0.49923486,0.30007896,0.19205265,0.274702,0.3017086,0.3520067,0.16822895,immune,0.015668094
314,natural killer cell mediated cytotoxicity,2.906556437311,GO:0042267,0.20648345,0.14671616,0.11384532,0.21918473,0.51709694,0.78039896,0.44624698,0.113626465,0.18608317,0.2333075,0.08429569,0.27537245,0.062682636,cell_killing,0.26330203
315,cell surface toll-like receptor signaling pathway,2.906556437311,GO:0140895,0.15184104,0.20704058,0.13074161,0.20846128,0.43523502,0.41777378,0.57166713,0.2343967,0.18105234,0.47261828,0.25818807,0.3383379,0.16038877,immune,0.09904885
316,regulation of cellular component organization,2.89273621939007,GO:0051128,0.43003684,0.3380332,0.29144397,0.24256164,0.47749612,0.2739179,0.36535347,0.57218784,0.33640254,0.6234543,0.40278792,0.67223,0.4034534,development_structure,0.048775733
317,negative regulation of intracellular signal transduction,2.87501641170289,GO:1902532,0.38546443,0.3037009,0.30282527,0.2819257,0.4228239,0.27085668,0.4091926,0.48036376,0.28286156,0.67271745,0.39693105,0.3479858,0.3941204,signaling,0.1923537
318,positive regulation of macromolecule biosynthetic process,2.87344433823559,GO:0010557,0.539767,0.43680188,0.28739083,0.32876557,0.35907406,0.26650643,0.26187158,0.5289729,0.42090988,0.43237054,0.28330645,0.33487773,0.25868273,metabolism,0.010794103
319,regulation of monocyte chemotaxis,2.85990755276795,GO:0090025,0.35537255,0.2719554,0.18979037,0.23921505,0.31839964,0.38720134,0.47715637,0.26713735,0.1990558,0.34945056,0.26827818,0.36354545,0.1984524,immune,0.08995503
320,response to chemokine,2.85838900235976,GO:1990868,0.26520342,0.16589503,0.12966906,0.20974606,0.32483995,0.33131528,0.40046924,0.05980207,0.13473956,0.25281572,0.12982291,0.12168327,0.06366466,immune,0.069153965
321,mast cell activation,2.85838900235976,GO:0045576,0.15973762,0.18635686,0.17713344,0.14690472,0.3384949,0.3141913,0.41165614,0.32773432,0.24364741,0.36722204,0.19610906,0.41582465,0.2590345,development_structure,0.0041685104
322,cellular response to chemokine,2.85838900235976,GO:1990869,0.4401704,0.2590521,0.27203858,0.2775632,0.4496582,0.42854562,0.5404359,0.16866128,0.18858293,0.45513868,0.28308666,0.32299155,0.18774293,immune,0.08529723
323,regulation of phagocytosis,2.82335088387739,GO:0050764,0.30136994,0.38833326,0.17540568,0.2991063,0.5026698,0.4989997,0.5987865,0.28131846,0.24351025,0.472323,0.33360198,0.35578132,0.16120602,immune,0.09611666
324,system development,2.80696656502886,GO:0048731,0.07843769,0.024004616,-0.035114396,-0.05579589,0.03266341,0.008958466,0.06473623,0.07144031,0.17275564,0.06963982,0.013295264,0.1966967,0.21471283,neuronal,0.01801613
325,"phagocytosis, engulfment",2.78178514371846,GO:0006911,0.25940946,0.28774703,0.21827291,0.33013573,0.4348412,0.4655688,0.38513497,0.0091662705,0.15969706,0.21563172,0.27901244,0.18846458,0.008567236,cell_killing,0.030727625
326,T cell proliferation,2.73060467065351,GO:0042098,0.23004247,0.17191239,0.1508919,0.1493923,0.4040503,0.4273224,0.36455286,0.23778197,0.22509241,0.28927353,0.22601143,0.4240221,0.22449729,cell_killing,0.0033002794
327,natural killer cell mediated immunity,2.71886036205791,GO:0002228,0.14544824,0.10071661,0.120558605,0.17284366,0.46667695,0.73497856,0.5969145,0.15174219,0.18953761,0.28590095,0.08903135,0.28703314,0.07314495,cell_killing,0.13806403
328,leukocyte degranulation,2.71886036205791,GO:0043299,0.13508543,0.11286083,0.08157792,0.13768414,0.30552796,0.45668587,0.37103143,0.07293083,0.1520539,0.09296447,0.2784481,0.27922422,0.09412224,cell_killing,0.08565444
329,T cell migration,2.71886036205791,GO:0072678,0.22660652,0.14174351,0.17557834,0.080645874,0.3425385,0.3336644,0.31174135,0.16527903,0.29703143,0.24670552,0.4393847,0.39612347,0.1655016,transport,0.04326123
330,lymphocyte migration,2.68172732297007,GO:0072676,0.16365549,0.15911415,0.13925716,0.096898824,0.2582481,0.41147107,0.44302014,0.09049985,0.24783999,0.15619767,0.4284706,0.28617448,0.050520845,immune,0.014549524
331,cellular response to type II interferon,2.68172732297007,GO:0071346,0.15730047,0.07394987,0.14455426,0.075417295,0.24060063,0.24486667,0.34748095,0.25024664,0.23301466,0.37255418,0.2646774,0.23326439,0.18845457,signaling,0.02507323
332,cell surface pattern recognition receptor signaling pathway,2.67392089728608,GO:0002752,0.18564127,0.16689767,0.065219626,0.10171762,0.38395712,0.2434853,0.39379472,0.29138896,0.17705902,0.50116915,0.29095197,0.4599545,0.25742337,signaling,0.041214645
333,anatomical structure morphogenesis,2.53577570585836,GO:0009653,0.1471205,0.1543481,0.14617315,0.055126276,0.14098379,-0.019409802,0.1010285,0.17462212,0.32798216,0.2880813,0.21373588,0.4863114,0.44558942,development_structure,0.040721983
334,regulation of biosynthetic process,2.51455103230938,GO:0009889,0.5543027,0.44831055,0.28257337,0.3757556,0.32034022,0.20353462,0.19253466,0.4743901,0.29889128,0.34686023,0.1983909,0.3284276,0.2979546,metabolism,0.0799126
335,negative regulation of defense response,2.490313138572,GO:0031348,0.079479784,0.08586258,0.06800393,0.09134592,0.20000574,0.21294478,0.38348877,0.26698858,0.10260747,0.33997124,0.11335817,0.13136813,0.19898304,immune,0.04351753
336,regulation of T cell mediated cytotoxicity,2.47383188999911,GO:0001914,0.2268408,0.19648303,0.09981097,0.22310829,0.44788575,0.6428541,0.44467393,0.2900378,0.21680728,0.3294618,0.18626064,0.28665683,0.07403432,cell_killing,0.19496834
337,respiratory burst involved in defense response,2.46118978083823,GO:0002679,0.065238014,0.059830196,0.16278028,0.15552816,0.20751593,0.21121182,0.3576882,0.07020508,0.097824514,0.26334667,0.15662256,0.07973436,0.1304771,immune,0.09434152
338,Fc-gamma receptor signaling pathway,2.46118978083823,GO:0038094,0.1829543,0.16976039,0.12694335,0.18272428,0.33025914,0.18160695,0.3211616,0.32149315,0.29359007,0.49008465,0.24188687,0.21796641,0.22012149,signaling,0.1598255
339,regulation of vesicle-mediated transport,2.45112655378191,GO:0060627,0.30595356,0.3667488,0.34109977,0.14292254,0.26891172,0.21997578,0.246887,0.2694534,0.31040815,0.44095156,0.8093083,0.2929304,0.24448416,transport,0.36835673
340,antigen processing and presentation of peptide antigen via MHC class Ib,2.43837331456727,GO:0002428,0.07606668,0.06460988,-0.03823297,0.060470082,0.10961291,0.28549123,0.34597218,0.055561323,0.31522238,0.12526526,0.12678152,0.0754219,0.009766007,immune,0.030749798
341,negative regulation of inflammatory response,2.42822573804914,GO:0050728,0.19242646,0.24150121,0.19127041,0.30373898,0.31667387,0.34637958,0.62881327,0.286289,0.13950768,0.4032107,0.16467156,0.1818205,0.17236283,immune,0.22560257
342,negative regulation of gene expression,2.4085038891382,GO:0010629,0.30799696,0.2778207,0.21796778,0.27887487,0.36628836,0.23424533,0.30426157,0.6245748,0.27400622,0.46319523,0.19845396,0.30831397,0.26381403,transcription,0.16137955
343,positive regulation of transport,2.39796545304243,GO:0051050,0.23545828,0.2744621,0.33284187,0.16198145,0.22809762,0.1579262,0.24923556,0.28603113,0.20191008,0.43180162,0.58854175,0.20481327,0.23377594,transport,0.15674013
344,positive regulation of macrophage activation,2.38776498225142,GO:0043032,0.29814407,0.3271305,0.25275114,0.23500511,0.40956163,0.39097893,0.57795054,0.39809895,0.2405405,0.48694414,0.25751808,0.36505365,0.21515332,immune,0.0910064
345,regulation of type II interferon production,2.38608223542299,GO:0032649,0.15735613,0.13337329,0.086253166,0.09865418,0.11351861,0.116091095,0.18609124,0.36661422,0.2772984,0.21783932,0.14799762,0.07398839,0.1026357,transcription,0.08931583
346,regulation of macromolecule biosynthetic process,2.38263816731994,GO:0010556,0.5901484,0.47051078,0.27590021,0.33240432,0.31668383,0.23627064,0.22369125,0.5436643,0.42280382,0.4048208,0.27743036,0.35283226,0.24770889,metabolism,0.046484113
347,negative regulation of secretion by cell,2.37679664907976,GO:1903531,0.31790355,0.26487884,0.22393194,0.20457515,0.3932194,0.3423045,0.4044361,0.34907353,0.23263326,0.46715882,0.42445338,0.4248472,0.31193995,signaling,0.04231164
348,type II interferon production,2.3550159620041,GO:0032609,-0.02249416,-0.038001876,-0.026729858,-0.050250124,-0.016733468,0.016479023,0.02868154,0.12602189,0.1728164,0.029719532,0.029005475,-0.06031956,0.011420798,translation,0.046794504
349,positive regulation of cell development,2.34662057304044,GO:0010720,0.30611497,0.28099003,0.25862458,0.24787481,0.48204088,0.35879362,0.5066471,0.4562177,0.3151788,0.5219281,0.2654494,0.6401844,0.4680301,development_structure,0.11825633
350,positive regulation of T cell mediated immunity,2.31253480027778,GO:0002711,0.11047657,0.11816145,0.1300301,0.14003468,0.34287414,0.5301218,0.5827558,0.3061,0.20602286,0.3901851,0.18175659,0.27458936,0.10870167,immune,0.052634
351,complement activation,2.31253480027778,GO:0006956,0.118355945,0.103494346,0.07121439,0.119661525,0.22784099,0.40062436,0.34355962,0.24018791,0.2718672,0.30052933,0.18126526,0.19352466,0.19888353,cell_killing,0.05706474
352,B cell activation,2.3021020608867,GO:0042113,0.26371402,0.22219074,0.13604902,0.18152158,0.3895023,0.38102734,0.44186175,0.28953817,0.3015591,0.3707013,0.23415577,0.34447592,0.23875202,immune,0.05235946
353,regulation of macromolecule metabolic process,2.29071934188391,GO:0060255,0.7653749,0.59514964,0.50649446,0.4211952,0.36487168,0.22001769,0.26330054,0.5578065,0.43825573,0.48718226,0.36199594,0.32683897,0.19614252,metabolism,0.17022526
